date,VCB,BID,CTG,MBB,TCB,ACB,VPB,HDB,VIB,TPB,STB,SHB,LPB,SSB,MSB,OCB,NAB,BAB,KLB,PGB,VAB,VBB,SGB,ABB,BVB
2016-03-31,12.31,8.39,6.94,2.68,,2.92,,,,,10.3,1.83,,,,,,,,,,,,,
2016-04-30,13.81,8.79,7.03,2.83,,2.86,,,,,10.3,1.83,,,,,,,,,,,,,
2016-05-31,14.02,9.14,7.53,2.93,,2.94,,,,,11.0,1.77,,,,,,,,,,,,,
2016-06-30,14.2,8.79,7.11,2.79,,3.03,,,,,11.3,1.72,,,,,,,,,,,,,
2016-07-31,16.22,8.84,7.53,2.81,,2.89,,,,,11.3,1.69,,,,,,,,,,,,,
2016-08-31,16.22,8.24,7.37,2.78,,2.87,,,,,10.4,1.49,,,,,,,,,,,,,
2016-09-30,15.84,8.54,7.18,2.79,,2.92,,,,,9.32,1.29,,,,,,,,,,,,,
2016-10-31,14.89,8.39,7.13,2.82,,3.03,,,,,8.82,1.52,,,,,,,,,,,,,
2016-11-30,14.56,8.09,6.82,2.63,,3.05,,,,,7.5,1.46,,,,,,,,,,,,,
2016-12-31,14.66,7.51,6.37,2.76,,3.09,,,,,9.45,1.39,,,,,,,,,,,,,
2017-01-31,16.25,8.94,8.18,2.79,,4.14,,,2.09,,10.2,1.45,,,,,,,,,,,,,
2017-02-28,15.47,8.7,8.05,2.87,,4.02,,,2.11,,10.3,1.6,,,,,,,,,,,,,
2017-03-31,15.26,9.28,7.99,3.15,,4.3,,,2.23,,11.45,1.72,,,,,,,,,,,,,
2017-04-30,14.52,8.78,7.65,3.24,,4.07,,,2.51,,11.55,2.27,,,,,,,,,,,,,
2017-05-31,14.97,9.76,8.29,3.87,,4.39,,,2.79,,12.5,2.18,,,,,,,,,,,,,
2017-06-30,15.92,10.79,8.93,4.58,,4.55,,,2.85,,13.8,2.3,,,,,,,5.94,,,,,,
2017-07-31,15.61,11.74,9.0,4.89,,4.56,,,2.88,,13.1,2.51,,,,,,,5.22,,,,,,
2017-08-31,15.34,11.3,8.4,4.88,,5.04,7.19,,2.67,,11.7,2.39,,,,,,,4.97,,,,,,
2017-09-30,15.89,10.7,8.47,4.69,,5.37,7.43,,2.73,,12.5,2.42,,,,,,,4.56,,,,,,
2017-10-31,17.49,11.92,8.58,4.87,,5.37,8.06,,2.78,,11.0,2.36,3.71,,,,,,4.87,,,,,,
2017-11-30,20.49,14.0,11.12,5.52,,6.12,8.15,,2.83,,13.1,2.84,4.09,,,,,,4.56,,,,,,
2017-12-31,22.94,13.92,11.08,5.48,,6.48,8.12,,2.91,,12.85,2.81,3.94,,,,,13.53,5.38,,,,,,
2018-01-31,28.14,18.66,12.45,7.03,,7.32,10.56,8.88,3.82,,16.25,4.22,5.37,,,,,13.31,5.12,,,,,,
2018-02-28,31.18,21.28,15.38,7.58,,8.25,11.81,8.46,4.11,,16.1,4.26,5.01,,,,,12.61,5.02,,,,,,
2018-03-31,29.79,23.68,15.83,7.64,,9.01,12.78,8.74,5.12,,15.5,4.19,4.85,,,,,12.34,5.17,,,,,,
2018-04-30,25.35,19.7,13.41,6.59,,8.18,10.6,8.15,4.41,6.66,13.85,3.7,4.85,,,,,12.23,6.35,,,,,,
2018-05-31,22.86,15.96,12.4,6.41,,7.72,8.92,7.43,3.55,6.18,11.75,3.02,3.95,,,,,12.12,5.89,,,,,,
2018-06-30,24.51,14.19,11.1,5.77,14.14,6.87,9.2,7.14,3.41,6.07,11.55,2.66,3.62,,,,,11.9,5.63,,,,,,
2018-07-31,24.72,14.35,10.8,6.15,12.86,6.91,8.69,7.03,3.45,5.62,11.45,2.63,3.2,,,,,11.09,5.74,,,,,,
2018-08-31,26.41,18.77,12.43,6.21,12.17,7.55,8.31,7.53,3.53,5.93,11.35,2.76,3.01,,,,,11.09,5.07,,,,,,
2018-09-30,26.62,19.21,12.61,6.05,13.49,7.57,8.59,7.67,3.73,5.78,13.5,2.96,3.36,,,,,11.09,5.75,,,,,,
2018-10-31,23.8,16.1,10.71,5.74,12.45,6.73,6.86,6.48,3.41,5.7,12.5,2.5,3.04,,,,,11.04,5.75,,,,,,
2018-11-30,23.71,17.14,10.53,5.65,12.05,6.62,6.67,5.92,3.4,5.55,12.15,2.44,3.07,,,,,11.04,5.53,,,,,,
2018-12-31,22.9,18.77,8.83,5.1,11.96,6.57,6.4,5.98,3.2,5.64,11.95,2.34,3.13,,,,,11.09,5.31,,,,,,
2019-01-31,24.31,17.19,9.02,5.74,12.26,6.53,6.48,6.02,3.15,5.88,12.3,2.34,2.92,,,,,11.2,6.08,,,,,,
2019-02-28,25.89,17.74,9.52,5.63,12.26,6.59,6.64,5.92,3.37,5.86,12.3,2.4,3.06,,,,,11.15,5.81,,,,,,
2019-03-31,28.8,19.54,10.27,5.87,11.84,6.73,6.48,5.92,3.46,6.0,12.2,2.44,3.13,,,,,11.31,6.03,,,,,,
2019-04-30,29.06,18.99,9.73,5.87,11.17,6.68,6.11,5.55,3.46,6.03,11.95,2.44,2.99,,,,,11.04,5.92,,,,,,
2019-05-31,28.76,17.19,9.29,5.61,10.46,6.44,5.84,5.39,3.27,6.75,11.75,2.27,2.72,,,,,11.09,5.86,,,,,,
2019-06-30,30.17,17.3,8.92,5.63,9.42,6.42,6.06,5.43,3.08,6.46,11.35,2.21,2.65,,,,,11.09,5.81,,,,,,
2019-07-31,34.32,19.37,9.5,5.98,9.51,6.58,5.95,5.12,3.51,6.44,10.7,2.14,2.79,,,,,11.09,5.53,,,12.15,,,
2019-08-31,33.25,21.15,9.24,6.22,9.95,6.41,6.51,5.13,3.88,6.57,10.4,2.05,2.62,,,,,11.2,5.59,,,8.8,,,
2019-09-30,35.14,21.5,9.68,6.63,10.8,6.75,7.07,5.47,3.99,6.33,10.55,2.14,2.55,,,,,11.51,5.59,,,8.51,,,
2019-10-31,37.53,22.16,10.07,6.69,10.96,6.96,6.89,5.82,3.95,6.34,10.8,2.14,2.58,,,,,11.57,5.53,,,8.86,,,
2019-11-30,36.51,22.86,9.36,6.44,10.59,6.67,6.46,5.23,3.79,6.19,10.1,1.95,2.62,,,,,11.51,5.31,,,8.86,,,
2019-12-31,38.95,26.05,9.56,6.05,10.9,6.58,6.41,5.44,3.84,5.95,10.05,2.11,2.62,,,,,11.57,6.91,,,9.69,,,
2020-01-31,38.3,29.07,11.17,6.05,9.99,6.64,7.2,5.33,3.79,5.91,10.2,2.44,2.51,,,,,11.64,5.64,,,9.22,,,
2020-02-29,35.58,25.68,11.78,5.93,10.29,7.27,8.72,5.49,4.01,6.05,11.6,3.77,2.65,,,,,11.51,6.2,,,9.1,,,
2020-03-31,26.77,17.41,7.87,3.94,6.94,5.14,5.44,3.52,2.84,4.85,7.3,4.79,2.09,,,,,11.12,5.7,,,8.8,,,
2020-04-30,29.36,20.09,9.15,4.64,7.96,5.92,6.57,4.08,3.22,4.92,9.1,6.25,2.62,,,,,11.51,5.92,,,8.22,,,
2020-05-31,36.79,22.63,10.3,5.0,9.58,6.61,7.49,4.78,3.61,5.83,10.3,5.5,2.95,,,,,11.7,5.37,,,8.22,,,
2020-06-30,34.67,21.39,9.86,4.83,9.04,6.58,6.56,4.9,3.86,5.82,10.75,5.11,3.06,,,,,11.7,5.75,,,7.63,,,
2020-07-31,32.99,20.69,9.7,4.58,8.4,6.49,6.48,4.73,3.99,5.82,10.1,4.64,3.06,,,,,11.57,5.64,,,7.92,,,7.42
2020-08-31,35.84,23.11,11.76,5.22,9.85,7.95,7.49,5.6,4.88,6.36,11.2,5.46,3.44,,,,,11.89,5.81,,,7.57,,,7.87
2020-09-30,36.31,23.03,12.15,5.74,10.46,8.44,7.62,6.18,6.14,6.63,13.8,6.05,4.26,,,,,12.13,6.25,,,7.22,,,7.94
2020-10-31,35.84,21.73,13.27,5.95,9.88,9.04,7.57,6.21,7.27,6.44,13.3,6.05,4.67,,,,4.38,12.27,6.69,,,6.52,11.1,,9.07
2020-11-30,40.16,23.54,15.33,6.8,11.15,10.21,8.59,7.17,7.34,7.7,14.65,6.68,4.65,,,,4.06,12.47,7.3,,,6.75,11.01,,9.22
2020-12-31,42.62,27.49,16.04,7.69,14.57,10.54,10.42,7.74,8.62,9.25,16.9,6.68,5.1,,7.13,,4.35,14.98,10.68,9.17,,7.04,11.69,7.53,11.21
2021-01-31,40.48,22.9,14.16,7.84,14.81,10.06,9.62,7.27,8.41,8.61,16.9,5.74,5.2,,6.41,7.65,3.74,14.71,9.51,6.18,,6.75,9.9,6.7,9.05
