date,VCB,BID,CTG,MBB,TCB,ACB,VPB,HDB,VIB,TPB,STB,SHB,LPB,SSB,MSB,OCB,NAB,BAB,KLB,PGB,VAB,VBB,SGB,ABB,BVB
2018-02-28,260.529949618,149.414581232,82.590472346,46.255227066,,42.37741695,93.699637716,29.695803858000005,12.244215258,,30.351972770000003,17.32008222,14.966283321,,,,,12.080654898,1.8337151379999999,,,,,,
2018-03-31,248.915561229,166.265849792,85.006968611,46.621363428,,46.281275966,101.395543608,30.678643702,15.253134336,,29.22084335,17.03547993,14.488318184999999,,,,,11.821989012,1.888507423,,,,,,
2018-04-30,211.816363785,138.32082943,72.011588697,40.213977093,,42.017850988,84.09959016,28.607659745,13.137953598,17.595428292,26.110237445,15.0432639,14.488318184999999,,,,,11.716606614,2.319540065,,,,,,
2018-05-31,191.010732786,112.060935924,66.58789708,39.115568007,,39.654988952,70.770598512,26.080357289,10.57590369,16.327289316,22.151284475,12.27855594,11.799764295,,,,,11.611224216,2.151510391,,,,,,
2018-06-30,204.797596701,99.633125361,59.60690787,35.210113479,99.897003038,35.288830842,72.99209712,25.062416022,10.158825798,16.036674134,21.774241335,10.81488702,10.813961202,,,,,11.40045942,2.056537097,,,,,,
2018-07-31,206.552288472,100.756543265,57.99591036000001,37.528977105,90.853992862,35.494297106,68.945796084,24.676300369,10.27799091,14.847793844,21.585719765,10.69291461,9.55930272,,,,,10.624461762,2.096718106,,,,,,
2018-08-31,220.673379391,131.790962863,66.748996831,37.895113467,85.979245189,38.78175733,65.930905116,26.431371519,10.516321134,15.666800266,21.397198195,11.22146172,8.991719121,,,,,10.624461762,1.851979233,,,,,,
2018-09-30,222.428071162,134.880362099,67.715595337,36.918749835,95.304849433,38.884490462,68.152403724,26.922791441,11.112146694,15.270506836,25.45041195,12.03461112,10.037267856,,,,,10.624461762,2.100370925,,,,,,
2018-10-31,198.86506738,113.04392659000001,57.512611107000005,35.027045298,87.957403665,34.569698918,54.426715896,22.745722104,10.158825798,15.05915034,23.56519625,10.1643675,9.081337584,,,,,10.576560672,2.100370925,,,,,,
2018-11-30,198.113056621,120.346142966,56.546012601,34.477840755,85.131462985,34.004666692,52.919270412,20.780042416,10.12903452,14.66285691,22.905370755,9.92042268,9.170956047,,,,,10.576560672,2.020008907,,,,,,
2018-12-31,191.34495979,131.790962863,47.417026711,31.121590769999997,84.495626332,33.747833862,50.77711104,20.990650954,9.53320896,14.900632968,22.528327615,9.51384798,9.350192973,,,,,10.624461762,1.9396468889999998,,,,,,
2019-01-31,203.126461681,120.69721106100002,48.437325134,35.027045298,86.615081842,33.542367598,51.411824928,21.131056646,9.38425257,15.534702456,23.18815311,9.51384798,8.722863732,,,,,10.72984416,2.220913952,,,,,,
2019-02-28,216.328428339,124.55896010599999,51.122320984,34.355795301,86.615081842,33.850566994,52.681252704,20.780042416,10.039660686,15.481863332,23.18815311,9.7577928,9.141083226,,,,,10.68194307,2.1222878389999997,,,,,,
2019-03-31,240.64344288,137.197411526,55.149814759,35.820340749,83.647844128,34.569698918,51.411824928,20.780042416,10.307782188,15.8517372,22.99963154,9.92042268,9.350192973,,,,,10.835226558,2.202649857,,,,,,
2019-04-30,242.815918406,133.33566248099999,52.250019241,35.820340749,78.914393489,34.312866088,48.476273196,19.481289765,10.307782188,15.930995886,22.528327615,9.92042268,8.931973479,,,,,10.576560672,2.162468848,,,,,,
2019-05-31,240.309215876,120.69721106100002,49.88722289299999,34.233749847000006,73.898348782,33.080068504,46.334113824,18.919666997,9.741747906,17.83320435,22.151284475,9.22924569,8.125407312,,,,,10.624461762,2.140551934,,,,,,
2019-06-30,252.090717767,121.46956087,47.900325964,34.355795301,66.550903014,32.977335372,48.079577016,19.060072689,9.175713624,17.067037052,21.397198195,8.98530087,7.916297565,,,,,10.624461762,2.1222878389999997,,,,,,
2019-07-31,286.766769432,136.003780003,51.01492115,36.491590746,67.186739667,33.799200428,47.20684542,17.971928576,10.456738578,17.014197928,20.17180799,8.70069858,8.334517059,,,,,10.624461762,2.020008907,,,8.674386795,,,
2019-08-31,277.826197075,148.501804185,49.618723308,37.956136194,70.295274415,32.925968806,51.649842636,18.007029999,11.559015864,17.357652234,19.60624328,8.334781349999998,7.826679102,,,,,10.72984416,2.041925821,,,6.282683440000001,,,
2019-09-30,293.618423014,150.95928085,51.981519656,40.458068001,76.30039836,34.67243205,56.092839852,19.200478381,11.886719922,16.723582746,19.889025635,8.70069858,7.617569354999999,,,,,11.026830918,2.041925821,,,6.075640463,,,
