Parameter,Value,Is_Baseline,Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar,Win_Rate
lookback,36,True,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
lookback,48,False,MKT,0.1954439878350045,0.25182551095527106,0.6367476685569864,0.9850681358578155,-0.31748153937155177,0.6156074089280337,0.5957446808510638
lookback,48,False,TAN,0.2286878932332257,0.27112079553250523,0.7140478176966384,1.1189915268600055,-0.4819093874031695,0.4745454212160915,0.6170212765957447
lookback,48,False,MV,0.14153134589114558,0.2278416437496045,0.467151936267869,0.7031778512765292,-0.31663088433244524,0.4469916009284342,0.5638297872340425
lookback,48,False,BL,0.20934550344445335,0.2684684994277904,0.6490550025972694,0.9915796931509007,-0.3418263757532235,0.6124322705734891,0.6170212765957447
lookback,48,False,BL_KIO,0.2688953991456253,0.2640596234921937,0.8854088148825724,1.452449263806973,-0.3095104694938285,0.8687764248665811,0.6170212765957447
lookback,48,False,EW,0.24185367232259924,0.25267772780615655,0.8182715321476691,1.345501596410775,-0.36244528536465376,0.6672832620219404,0.6063829787234043
lookback,48,False,RP,0.22966411813323329,0.24933111859821336,0.7803656373744103,1.261661970601689,-0.352907688703076,0.6507767483821089,0.6170212765957447
max_weight,20%,False,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
max_weight,20%,False,TAN,0.22002450675754748,0.28169725599396095,0.6501392093424424,1.0469481697888026,-0.440590080399065,0.499385974732477,0.6320754716981132
max_weight,20%,False,MV,0.17978083718956306,0.2609029143820317,0.5477085683628007,0.8875666936895813,-0.4056468879793217,0.4431954059480609,0.5943396226415094
max_weight,20%,False,BL,0.2741218587084624,0.2828184125716228,0.8388413649577504,1.3817037663463838,-0.3646072949983874,0.7518276854819232,0.6320754716981132
